record_id,record_type,display_name,one_line_description,full_description,full_description_or_source_reference,description_status,prerequisites_readable,acquisition_route,source_attribution,restriction_explanation,advanced,source_provenance,record_commitment_sha256
TAL_BERSERKER_ADVANCING_CARNAGE,talent,Advancing Carnage,"Prerequisite: CL 5+ When you score a critical hit with a melee weapon or reduce a creature to 0 HP with a melee weapon, make one melee attack as a Bonus Action.","Prerequisite: CL 5+ When you score a critical hit with a melee weapon or reduce a creature to 0 HP with a melee weapon, make one melee attack as a Bonus Action.","Prerequisite: CL 5+ When you score a critical hit with a melee weapon or reduce a creature to 0 HP with a melee weapon, make one melee attack as a Bonus Action.",SOURCE_TEXT_AVAILABLE,"Prerequisite: CL 5+ When you score a critical hit with a melee weapon or reduce a creature to 0 HP with a melee weapon, make one melee attack as a Bonus Action.","[""known-sphere-talent-training"",""level-talent"",""new-sphere-bonus-when-eligible""]",Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2: 09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:9706,ordinary_or_unspecified,"{""canonical_sphere_id"":""tianxia.sphere.berserker"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""stable_id"":""TAL_BERSERKER_ADVANCING_CARNAGE""}","{""accepted_qa2_record_id"":""TAL_BERSERKER_ADVANCING_CARNAGE"",""source_anchor"":""line:9706"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",dd27938d2b188aaa2ebe455056c6702be0276876ff60e7a1473de35699adc582
TAL_BERSERKER_ALTER_TERRAIN,talent,Alter Terrain,"Prerequisite: Shatter Earth, CL 7+ When using Shatter Earth: create a hole 5 feet deep in affected ground squares; optionally raise ground adjacent to the affected area by 5 feet.","Prerequisite: Shatter Earth, CL 7+ When using Shatter Earth: create a hole 5 feet deep in affected ground squares; optionally raise ground adjacent to the affected area by 5 feet. Alter Terrain reshapes ordinary ground through force. It does not create controlled Earth-sphere structures.","Prerequisite: Shatter Earth, CL 7+ When using Shatter Earth: create a hole 5 feet deep in affected ground squares; optionally raise ground adjacent to the affected area by 5 feet. Alter Terrain reshapes ordinary ground through force. It does not create controlled Earth-sphere structures.",SOURCE_TEXT_AVAILABLE,"Prerequisite: Shatter Earth, CL 7+ When using Shatter Earth: create a hole 5 feet deep in affected ground squares; optionally raise ground adjacent to the affected area by 5 feet. Alter Terrain reshapes ordinary ground through force. It does not create controlled Earth-sphere structures.","[""known-sphere-talent-training"",""level-talent"",""new-sphere-bonus-when-eligible""]",Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2: 09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:9842,ordinary_or_unspecified,"{""canonical_sphere_id"":""tianxia.sphere.berserker"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""stable_id"":""TAL_BERSERKER_ALTER_TERRAIN""}","{""accepted_qa2_record_id"":""TAL_BERSERKER_ALTER_TERRAIN"",""source_anchor"":""line:9842"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",536520b146ec5bd99f1d7962e456a7fa7cb1e961a8ef58d856d5aa2d4055d8c6
TAL_BERSERKER_ATAVISM,talent,Atavism,"Prerequisite: CL 7+ While active, when a supernatural effect cares about creature type, choose to count as: your normal creature type; or Beast.","Prerequisite: CL 7+ While active, when a supernatural effect cares about creature type, choose to count as: your normal creature type; or Beast. Use whichever is more favorable. Atavism does not grant: beast anatomy; Beast-sphere talents; transformation; senses; natural weapons; Beast Nature.","Prerequisite: CL 7+ While active, when a supernatural effect cares about creature type, choose to count as: your normal creature type; or Beast. Use whichever is more favorable. Atavism does not grant: beast anatomy; Beast-sphere talents; transformation; senses; natural weapons; Beast Nature.",SOURCE_TEXT_AVAILABLE,"Prerequisite: CL 7+ While active, when a supernatural effect cares about creature type, choose to count as: your normal creature type; or Beast. Use whichever is more favorable. Atavism does not grant: beast anatomy; Beast-sphere talents; transformation; senses; natural weapons; Beast Nature.","[""known-sphere-talent-training"",""level-talent"",""new-sphere-bonus-when-eligible""]",Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2: 09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:9816,ordinary_or_unspecified,"{""canonical_sphere_id"":""tianxia.sphere.berserker"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""stable_id"":""TAL_BERSERKER_ATAVISM""}","{""accepted_qa2_record_id"":""TAL_BERSERKER_ATAVISM"",""source_anchor"":""line:9816"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",21f3d6079e3b43065371da1713257e60e41bd0c6a442a0c8c100093c318a9805
TAL_BERSERKER_BEAT_DOWN,talent,Beat Down,Prerequisite: CL 5+ Battered lasts until the end of your second turn after Batter lands.,Prerequisite: CL 5+ Battered lasts until the end of your second turn after Batter lands. Your Exertion effects that normally last until the start of your next turn instead last until the start of your second turn after the attack.,Prerequisite: CL 5+ Battered lasts until the end of your second turn after Batter lands. Your Exertion effects that normally last until the start of your next turn instead last until the start of your second turn after the attack.,SOURCE_TEXT_AVAILABLE,Prerequisite: CL 5+ Battered lasts until the end of your second turn after Batter lands. Your Exertion effects that normally last until the start of your next turn instead last until the start of your second turn after the attack.,"[""known-sphere-talent-training"",""level-talent"",""new-sphere-bonus-when-eligible""]",Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2: 09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:9742,ordinary_or_unspecified,"{""canonical_sphere_id"":""tianxia.sphere.berserker"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""stable_id"":""TAL_BERSERKER_BEAT_DOWN""}","{""accepted_qa2_record_id"":""TAL_BERSERKER_BEAT_DOWN"",""source_anchor"":""line:9742"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",32cafb7c2cbc5478b4d3281f6b2e1d79462bc5015c1e26bce51137546cedb99f
TAL_BERSERKER_BELL_RINGER,talent,Bell-Ringer,"When Batter deals damage, the target has Disadvantage until the start of your next turn on: Intelligence saving throws; Intelligence checks; Concentration saving throws, including one caused by the Batter attack.","When Batter deals damage, the target has Disadvantage until the start of your next turn on: Intelligence saving throws; Intelligence checks; Concentration saving throws, including one caused by the Batter attack.","When Batter deals damage, the target has Disadvantage until the start of your next turn on: Intelligence saving throws; Intelligence checks; Concentration saving throws, including one caused by the Batter attack.",SOURCE_TEXT_AVAILABLE,"When Batter deals damage, the target has Disadvantage until the start of your next turn on: Intelligence saving throws; Intelligence checks; Concentration saving throws, including one caused by the Batter attack. When Batter deals damage, the target has Disadvantage until the start of your next turn on: Intelligence saving throws; Intelligence checks; Concentration saving throws, including one caused by the Batter attack. Mortal or prerequisite-gated; see source text","[""known-sphere-talent-training"",""level-talent"",""new-sphere-bonus-when-eligible""]",Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2: 09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:9558,ordinary_or_unspecified,"{""canonical_sphere_id"":""tianxia.sphere.berserker"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""stable_id"":""TAL_BERSERKER_BELL_RINGER""}","{""accepted_qa2_record_id"":""TAL_BERSERKER_BELL_RINGER"",""source_anchor"":""line:9558"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",59a404e8df15536e5fbf7c7c6e38e39a4df72d61c35104956ed8891f21e32db7
TAL_BERSERKER_BERSERK,talent,Berserk,"While active, reduce all damage you take by: Proficiency Bonus Apply this reduction before Resistance.","While active, reduce all damage you take by: Proficiency Bonus Apply this reduction before Resistance.","While active, reduce all damage you take by: Proficiency Bonus Apply this reduction before Resistance.",SOURCE_TEXT_AVAILABLE,"While active, reduce all damage you take by: Proficiency Bonus Apply this reduction before Resistance. While active, reduce all damage you take by: Proficiency Bonus Apply this reduction before Resistance. Mortal or prerequisite-gated; see source text","[""known-sphere-talent-training"",""level-talent"",""new-sphere-bonus-when-eligible""]",Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2: 09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:9513,ordinary_or_unspecified,"{""canonical_sphere_id"":""tianxia.sphere.berserker"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""stable_id"":""TAL_BERSERKER_BERSERK""}","{""accepted_qa2_record_id"":""TAL_BERSERKER_BERSERK"",""source_anchor"":""line:9513"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",6ff07275d5e3d92324ca611edc26503b8a4bac80ee7edb0e752a5c218a2d2d3a
TAL_BERSERKER_BLOODY_COUNTER,talent,Bloody Counter,Prerequisite: CL 5+ Action Type: Reaction Trigger: A creature targets you with a melee attack before rolling Allow the attack to hit automatically.,"Prerequisite: CL 5+ Action Type: Reaction Trigger: A creature targets you with a melee attack before rolling Allow the attack to hit automatically. The attack is still rolled to determine whether it critically hits. After damage is determined, make one melee attack against the creature. You may apply one Exertion talent to this counterattack. If the attacker was already Battered, resolve your counterattack before the triggering attack.","Prerequisite: CL 5+ Action Type: Reaction Trigger: A creature targets you with a melee attack before rolling Allow the attack to hit automatically. The attack is still rolled to determine whether it critically hits. After damage is determined, make one melee attack against the creature. You may apply one Exertion talent to this counterattack. If the attacker was already Battered, resolve your counterattack before the triggering attack.",SOURCE_TEXT_AVAILABLE,"Prerequisite: CL 5+ Action Type: Reaction Trigger: A creature targets you with a melee attack before rolling Allow the attack to hit automatically. The attack is still rolled to determine whether it critically hits. After damage is determined, make one melee attack against the creature. You may apply one Exertion talent to this counterattack. If the attacker was already Battered, resolve your counterattack before the triggering attack.","[""known-sphere-talent-training"",""level-talent"",""new-sphere-bonus-when-eligible""]",Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2: 09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:9712,ordinary_or_unspecified,"{""canonical_sphere_id"":""tianxia.sphere.berserker"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""stable_id"":""TAL_BERSERKER_BLOODY_COUNTER""}","{""accepted_qa2_record_id"":""TAL_BERSERKER_BLOODY_COUNTER"",""source_anchor"":""line:9712"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",2a98e37187a1a9fcdf5b541c6176ed3f038d660fc1d1b3d620b17b3f8f67a5d9
TAL_BERSERKER_BONE_BREAKER,talent,Bone-Breaker,"When Batter deals damage, subtract: 1d4 from attack rolls made by the target until the start of your next turn.","When Batter deals damage, subtract: 1d4 from attack rolls made by the target until the start of your next turn.","When Batter deals damage, subtract: 1d4 from attack rolls made by the target until the start of your next turn.",SOURCE_TEXT_AVAILABLE,"When Batter deals damage, subtract: 1d4 from attack rolls made by the target until the start of your next turn. When Batter deals damage, subtract: 1d4 from attack rolls made by the target until the start of your next turn. Mortal or prerequisite-gated; see source text","[""known-sphere-talent-training"",""level-talent"",""new-sphere-bonus-when-eligible""]",Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2: 09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:9568,ordinary_or_unspecified,"{""canonical_sphere_id"":""tianxia.sphere.berserker"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""stable_id"":""TAL_BERSERKER_BONE_BREAKER""}","{""accepted_qa2_record_id"":""TAL_BERSERKER_BONE_BREAKER"",""source_anchor"":""line:9568"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",91e3f2dd8228d432542d72d4f15eca2aca54127bca0df9ca4e4b2a04d2981b1e
TAL_BERSERKER_BRUTAL_STRIKE,talent,Brutal Strike,"When making Batter, take: -5 to the attack roll.","When making Batter, take: -5 to the attack roll. Hit: Deal: +10 damage","When making Batter, take: -5 to the attack roll. Hit: Deal: +10 damage",SOURCE_TEXT_AVAILABLE,"When making Batter, take: -5 to the attack roll. Hit: Deal: +10 damage When making Batter, take: -5 to the attack roll. Mortal or prerequisite-gated; see source text","[""known-sphere-talent-training"",""level-talent"",""new-sphere-bonus-when-eligible""]",Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2: 09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:9610,ordinary_or_unspecified,"{""canonical_sphere_id"":""tianxia.sphere.berserker"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""stable_id"":""TAL_BERSERKER_BRUTAL_STRIKE""}","{""accepted_qa2_record_id"":""TAL_BERSERKER_BRUTAL_STRIKE"",""source_anchor"":""line:9610"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",a34732973ab953f969754622e59f20642b68edf216037418e3b38b2220c6b40e
TAL_BERSERKER_COURT_OF_THE_UNBROKEN_WARPATH,talent,Court of the Unbroken Warpath,“The battlefield did not become smaller.,"“The battlefield did not become smaller. The warrior simply stopped recognizing obstacles as reasons to stop.” Prerequisite: CL 12+ Action Type: Bonus Action Duration: 1 minute Cost: Expend Martial Focus Limit: Once per short rest For the duration: activate one Adrenaline talent without taking the normal -2 AC penalty; ignore nonmagical difficult terrain; gain Resistance to forced movement; deal double damage to unattended objects and temporary Barriers; after reducing a creature to 0 HP or critically hitting, move 10 feet without provoking opportunity attacks; once per turn when Batter hits a Battered target, regain Martial Focus. Court of the Unbroken Warpath ends early if you become Incapacitated.","“The battlefield did not become smaller. The warrior simply stopped recognizing obstacles as reasons to stop.” Prerequisite: CL 12+ Action Type: Bonus Action Duration: 1 minute Cost: Expend Martial Focus Limit: Once per short rest For the duration: activate one Adrenaline talent without taking the normal -2 AC penalty; ignore nonmagical difficult terrain; gain Resistance to forced movement; deal double damage to unattended objects and temporary Barriers; after reducing a creature to 0 HP or critically hitting, move 10 feet without provoking opportunity attacks; once per turn when Batter hits a Battered target, regain Martial Focus. Court of the Unbroken Warpath ends early if you become Incapacitated.",SOURCE_TEXT_AVAILABLE,"“The battlefield did not become smaller. The warrior simply stopped recognizing obstacles as reasons to stop.” Prerequisite: CL 12+ Action Type: Bonus Action Duration: 1 minute Cost: Expend Martial Focus Limit: Once per short rest For the duration: activate one Adrenaline talent without taking the normal -2 AC penalty; ignore nonmagical difficult terrain; gain Resistance to forced movement; deal double damage to unattended objects and temporary Barriers; after reducing a creature to 0 HP or critically hitting, move 10 feet without provoking opportunity attacks; once per turn when Batter hits a Battered target, regain Martial Focus. Court of the Unbroken Warpath ends early if you become Incapacitated. “The battlefield did not become smaller. Core Formation or higher; see prerequisites","[""known-sphere-talent-training"",""level-talent"",""new-sphere-bonus-when-eligible""]",Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2: 09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:9965,ordinary_or_unspecified,"{""canonical_sphere_id"":""tianxia.sphere.berserker"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""stable_id"":""TAL_BERSERKER_COURT_OF_THE_UNBROKEN_WARPATH""}","{""accepted_qa2_record_id"":""TAL_BERSERKER_COURT_OF_THE_UNBROKEN_WARPATH"",""source_anchor"":""line:9965"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",3d66b9fda95b7677ff8a95a5c905fe1c7c6cd4eaec5810277b3dad5c5a8f00bf
TAL_BERSERKER_CULTIVATION_SUNDER,talent,Cultivation Sunder,"Prerequisite: CL 5+ When Batter deals damage, attempt to break one ongoing supernatural effect affecting: the target; an area you struck; a Barrier you struck.","Prerequisite: CL 5+ When Batter deals damage, attempt to break one ongoing supernatural effect affecting: the target; an area you struck; a Barrier you struck. Choose one effect you can perceive. If you cannot identify an effect, target the weakest eligible effect. Compare Batter damage to: 10 + effect rank For ordinary fifth-edition spells, use spell level as effect rank. For an effect without a listed rank, the GM assigns a rank from 0 to 9 using the closest spell-level equivalent. Damage Meets DC: Suppress the effect for rounds equal to your Proficiency Bonus.Damage Exceeds DC by 5+: Dispel the effect. Cultivation Sunder does not automatically dispel: Domains; Secret Inheritances; artifacts; Formation cores; Realm-defining transformation","Prerequisite: CL 5+ When Batter deals damage, attempt to break one ongoing supernatural effect affecting: the target; an area you struck; a Barrier you struck. Choose one effect you can perceive. If you cannot identify an effect, target the weakest eligible effect. Compare Batter damage to: 10 + effect rank For ordinary fifth-edition spells, use spell level as effect rank. For an effect without a listed rank, the GM assigns a rank from 0 to 9 using the closest spell-level equivalent. Damage Meets DC: Suppress the effect for rounds equal to your Proficiency Bonus.Damage Exceeds DC by 5+: Dispel the effect. Cultivation Sunder does not automatically dispel: Domains; Secret Inheritances; artifacts; Formation cores; Realm-defining transformation",SOURCE_TEXT_AVAILABLE,"Prerequisite: CL 5+ When Batter deals damage, attempt to break one ongoing supernatural effect affecting: the target; an area you struck; a Barrier you struck. Choose one effect you can perceive. If you cannot identify an effect, target the weakest eligible effect. Compare Batter damage to: 10 + effect rank For ordinary fifth-edition spells, use spell level as effect rank. For an effect without a listed rank, the GM assigns a rank from 0 to 9 using the closest spell-level equivalent. Damage Meets DC: Suppress the effect for rounds equal to your Proficiency Bonus.Damage Exceeds DC by 5+: Dispel the effect. Cultivation Sunder does not automatically dispel: Domains; Secret Inheritances; artifacts; Formation cores; Realm-defining transformation","[""known-sphere-talent-training"",""level-talent"",""new-sphere-bonus-when-eligible""]",Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2: 09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:9778,secret,"{""canonical_sphere_id"":""tianxia.sphere.berserker"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""stable_id"":""TAL_BERSERKER_CULTIVATION_SUNDER""}","{""accepted_qa2_record_id"":""TAL_BERSERKER_CULTIVATION_SUNDER"",""source_anchor"":""line:9778"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",5610c7d97d511daef3358a5896ac6a639c2bb8e82b1c8cc10a00d7a3b25baebe
TAL_BERSERKER_DEATHLESS,talent,Deathless,"Gain: Advantage on death saving throws; when determining death from massive damage, treat maximum HP as three times its actual value; if Stable at 0 HP, regain 1 HP after 1d4 minutes instead of 1d4 hours.","Gain: Advantage on death saving throws; when determining death from massive damage, treat maximum HP as three times its actual value; if Stable at 0 HP, regain 1 HP after 1d4 minutes instead of 1d4 hours.","Gain: Advantage on death saving throws; when determining death from massive damage, treat maximum HP as three times its actual value; if Stable at 0 HP, regain 1 HP after 1d4 minutes instead of 1d4 hours.",SOURCE_TEXT_AVAILABLE,"Gain: Advantage on death saving throws; when determining death from massive damage, treat maximum HP as three times its actual value; if Stable at 0 HP, regain 1 HP after 1d4 minutes instead of 1d4 hours. Gain: Advantage on death saving throws; when determining death from massive damage, treat maximum HP as three times its actual value; if Stable at 0 HP, regain 1 HP after 1d4 minutes instead of 1d4 hours. Mortal or prerequisite-gated; see source text","[""known-sphere-talent-training"",""level-talent"",""new-sphere-bonus-when-eligible""]",Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2: 09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:9622,ordinary_or_unspecified,"{""canonical_sphere_id"":""tianxia.sphere.berserker"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""stable_id"":""TAL_BERSERKER_DEATHLESS""}","{""accepted_qa2_record_id"":""TAL_BERSERKER_DEATHLESS"",""source_anchor"":""line:9622"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",5ec7d558e014b5fc003f4315854c65fdb2efbaf2315deb7487c84edeb1931f63
TAL_BERSERKER_DREADNOUGHT,talent,Dreadnought,"While active, gain Advantage on checks and saving throws made to resist or end: Grappled; Paralyzed; Petrified; Prone; Restrained; Stunned.","While active, gain Advantage on checks and saving throws made to resist or end: Grappled; Paralyzed; Petrified; Prone; Restrained; Stunned.","While active, gain Advantage on checks and saving throws made to resist or end: Grappled; Paralyzed; Petrified; Prone; Restrained; Stunned.",SOURCE_TEXT_AVAILABLE,"While active, gain Advantage on checks and saving throws made to resist or end: Grappled; Paralyzed; Petrified; Prone; Restrained; Stunned. While active, gain Advantage on checks and saving throws made to resist or end: Grappled; Paralyzed; Petrified; Prone; Restrained; Stunned. Mortal or prerequisite-gated; see source text","[""known-sphere-talent-training"",""level-talent"",""new-sphere-bonus-when-eligible""]",Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2: 09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:9521,ordinary_or_unspecified,"{""canonical_sphere_id"":""tianxia.sphere.berserker"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""stable_id"":""TAL_BERSERKER_DREADNOUGHT""}","{""accepted_qa2_record_id"":""TAL_BERSERKER_DREADNOUGHT"",""source_anchor"":""line:9521"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",9b8d480210a15ba67b5f4b406841dfe8592a82d1a69c848688d66c40865a6b84
